Job_Title,Job_Description,company,location ,Industry,Employment_type,Job Function,Experience_Level
Veri Bilimi Uzmanı,"İlanı veren
Itır Tavşancı 2.
Recruitment Specialist at Gratis
2009 yılında Sedes Holding bünyesinde kurulan Gratis, Türkiye çapında 600’ün üzerindeki mağazası ile kişisel bakım sektöründe lider konumundadır. “Güzel Bak Kendine” mottosu ile 10 yıldır kişisel bakım sektöründe hizmet veren Gratis, dünyanın önde gelen markaları başta olmak üzere makyaj ürünlerinden cilt bakımına, bebek bakımından temizlik ürünlerine, hijyen ürünlerinden atıştırmalıklara kadar 12 farklı kategoride 8 binden fazla ürün sunmaktadır.
 Türkiye’nin en büyük 500 şirketi içinden en yüksek kadın çalışan sayısı ile ilk 100’e giren şirketler arasında kadın çalışan ve kadın yönetici oranı ile 1’inci konumda olan Gratis’in mağaza kadrolarının tümü kadın çalışanlardan oluşmaktadır. Tüketiciler tarafından ‘aşık olunan marka’ ve ‘kişisel bakım sektörünün 1 numaralı markası’ seçilerek birçok ödül alan Gratis, yenilikçi ve dinamik duruşu, ileri teknolojik alt yapısı ve uzmanlaşmış mağazacılık anlayışı ile birçok ilke imza atarak sektördeki hizmet çıtasını en üst seviyelere taşımaktadır.
 Müşteriler, çalışanlar ve tedarikçiler nezdinde en cazip satış kanalı olan Gratis’in amacı müşterilerine kolay ulaşılabilir, hızlı ve rahat alışveriş imkânı sunarken temel kişisel bakım ihtiyaçlarının yanı sıra heyecan veren yeni markalar ve ürünler ile müşterilerine kişiye özel keyifli bir alışveriş deneyimi sunmaktır.

GENEL NİTELİKLER :

Üniversitelerin Bilgisayar Mühendisliği, Endüstri Mühendisliği, İstatistik, Matematik veya MIS bölümlerinden mezun olan,
Veri bilimi alanında minimum 3 yıl tecrübesi bulunan,
SAS, IBM Modeller, R, Python gibi veri bilimi programlarından en az birinde ileri seviyede bilgi sahibi olan ve bu programlar ile projeler geliştirmiş,
Çok iyi derecede SQL bilgisi olan
Web datası üzerinde tecrübeli, tercihen Google Bigquery, Google Analytics ya da Tensorflow kullanmış,
Supervise/unsupervise modeller ve text mining konularında bilgi sahibi ve projeler geliştirmiş,
Ürün öneri sistemlerinde bilgi sahibi ve projeler gerçekleştirmiş.
İyi derecede İngilizce bilen, 
Analitik yetkinliği yüksek olan,
Sonuç odaklı ve detaycı olan.

İŞ TANIMI:

Veri temizleme, zenginleştirme ve tekilleştirme süreçlerini ilerletmek,
Müşteri segmentasyonu (değer, ihtiyaç, davranış v.b) yapmak,
Kampanya, promosyon, iletişim optimizasyon sistemlerinin kurulmasında görev almak,
Tahminsel modeller geliştirmek (churn, kategori/ürün/marka eğilim modelleri, fraud modelleri v.b )
İlişki ve sepet analizleri yapmak,
Ad-hoc analizler yapmak,
Omnichannel müşteri deneyimi ölçümlemesi ve indeks hesaplaması yapmak.
Kıdem Düzeyi
Orta-Üst Düzey Yönetici
Sektör
Perakende
İstihdam Türü
Tam Zamanlı
İş Alanları
Mühendislik Bilgi Teknolojisi",Gratis,"Istanbul, Turkey",Perakende,Tam Zamanlı,Mühendislik Bilgi Teknolojisi,Orta-Üst Düzey Yönetici,https://www.linkedin.com/jobs/search/?currentJobId=1496955304&keywords=Python&location=istanbul
Product Owner,"P.I. Works is the leading provider of AI-driven mobile network planning, management and optimization solutions. These solutions empower Mobile Operators to accelerate network transformation, improve network quality and reduce network management costs on the way to 5G. P.I. Works has deployed its solutions for 47 mobile network operators in 35 countries.  


P.I. Works is looking for a Product Owner* to drive product management lifecycle and leverage capabilities of Smart Network Planning solution considering demands coming from global mobile operators, competitive edge requirements with a focus on next-generation network planning approach and AI/ML-based forecasting along with joint optimization techniques.

For further details about Smart Network Planning please proceed to

https://piworks.net/products#smart-network-planning

* Senior, expert, principle level of roles are available


What You Will Do?

Design user experience, deliver and demonstrate next-generation network planning solution based on mobile operators’ requirements and worldwide policies
Attend customer meetings and technology sessions to capture new network planning requirements, domain challenges towards 5G and introduce value-proof solutions
Design algorithms, provide a flexible infrastructure for expansions and create specification documents to maximize CapEx efficiency and investment planning agility
Extract business cases, do analyze the value, validate studies and provide a competitive roadmap
Conduct demo, training, and workshop sessions
Lead the Proof-of-Concept (POC) process within regular communication with customers
Prepare solution descriptions, fact sheets, functional specifications, and user manual documents
Ensure product quality assurance by communicating with the Quality Assurance Team and define user acceptance scenarios

What You Need To Be Succesful?

Hands-on mobile network planning experience (Min 3 years is experience is a must)
Min 2 years of experience in Tier-1 Operators
Database, SQL, Python knowledge for data treatment and forecasting experience is a plus
Efficient, result-oriented communication with multi-disciplinary internal teams and time management
Able to support technical meetings worldwide with a fluent command of English
Executive, high-level reporting and C-level presentation skills are a plus
Good organization, negotiation, presentation, and reporting skills are mandatory

What P.I. Works Offers?

An agile environment with the opportunity to work shape the future of the connected world, with a highly talented and multi-cultural team
International opportunities across Americas, EU & MEA, APAC regions
Opportunity to gain expert knowledge from P.I. Works’ RAN, Core, Transmission and IT subject matter experts
Transmission and IT subject matter experts
The confidence in offering best-in-class solutions to global telco market as the market pioneer
Broad insight about next-generation optimization techniques and recent technologies in the global mobile communication market
Opportunity to experience the preparation on launching 5G and AI technology from the market selected company in the telecommunication sector
The chance to experience the working environment of an award-winning technology solution provider

By applying to this job, you confirm and agree that (i) you have read the information regarding data privacy (“Information”) located at this link, (ii) your personal data will be processed by PIWORKS TR BİLİŞİM HİZMETLERİ SAN. VE TİC. A.Ş. within the scope of the Information and (iii) you have been informed as required by the relevant personal data protection legislation via the Information.
Kıdem Düzeyi
Uzman
Sektör
Telekomünikasyon
İstihdam Türü
Tam Zamanlı
İş Alanları
Mühendislik Ürün Yönetimi Bilgi Teknolojisi","P.I. Works, Inc.","Istanbul, Turkey",Telekomünikasyon,Tam Zamanlı,Mühendislik Ürün Yönetimi Bilgi Teknolojisi,Uzman,https://www.linkedin.com/jobs/search/?currentJobId=1496957416&keywords=Python&location=istanbul
Python Developer,"İlanı veren
Ahmet Can 2.
Chief Operating Officer at Boomset
InMail gönder
Location

Moda, Kadikoy, Istanbul

Boomset is a leading event solutions provider powered by NFC, mobile, and cloud-based technology. By combining innovative products with customizable professional services, Boomset optimizes events and delivers actionable data leading to a stellar attendee experience. Boomset event solutions include online registration, onsite services, badge printing, access control and tracking, lead retrieval, reporting, analytics, and more. Boomset operates on six continents and services thousands of exhibitors and over 1.5 million attendees annually.
Job Description

We are seeking a hands-on, experienced and motivated individual who thrives in a fast-paced, entrepreneurial work environment keeping up with the pace and energy of our dynamic team and agile environment. You will use your development skills and consumer understanding to create great user experiences.

Responsibilities
 Ensure various front-ends are operating as intended and databases are accessible
Update weekly task document
Participate in weekly project update meetings
Oversee/download and aggregate required text data as required
Maintain databases as required
 Requirements
 BS degree in Computer Science or relevant departments
5 to 7 years of demonstrable experience in Python
Solid understanding of Object-Oriented Design and Analysis, multi-processing, modern data transformation techniques, and SQL/No-SQL databases and distributed systems
Minimum 5 years of application development work with solid application design, coding, testing, maintenance and debugging skills
Familiarity with Python web stacks
Understanding of the threading limitations in Python and multi-process architecture
In-depth knowledge of Django
Identify and suggest various opportunities to improve efficiency and functionality
Write reusable and testable code
Ability to multi-task with little supervision and work in a complex, deadline oriented environment
Self-motivated passionate technical professional, able to provide realistic time estimates and driven to achieve committed milestones
Possess a desire to learn, a drive to improve and a natural curiosity about how things work and why things are done in a certain way

Preferred
 Experience in an Agile environment
Strong communication, writing and presentation skills
Knowledge of current state-of-the-art digital business initiatives and technologies

Personal Qualities
 ●     Highly motivated, takes initiative.
●     Excellent communications and analytical skills.
●     Eagerness on self-improvement, open-minded, career-oriented
●     Ability to work alone without much supervision.
●     Persistent and resilient; tenacious when encountering obstacles.
●     High degree of self-confidence.
●     Thrives in a fast-paced collaborative environment.
●     Flexible attitude and ability to adapt to changing priorities.
●     Demonstrates strong organizational, planning and personal time management skills.

Please send a cover letter including net TL salary requirements and resume to jobs@boomset.com with “Python Developer” in the subject line.

This position is based in Moda, Kadikoy, Istanbul, Turkey

For more on Boomset visit www.boomset.com.


Boomset is an equal opportunity employer and committed to a diverse workforce.
Kıdem Düzeyi
Orta-Üst Düzey Yönetici
Sektör
Etkinlik Hizmetleri
İstihdam Türü
Tam Zamanlı
İş Alanları
Mühendislik Bilgi Teknolojisi",,"Kadıköy Mah., İstanbul Province, Turkey",Etkinlik Hizmetleri,Tam Zamanlı,Mühendislik Bilgi Teknolojisi,Orta-Üst Düzey Yönetici,https://www.linkedin.com/jobs/search/?currentJobId=1442582105&keywords=Python&location=istanbul
Machine Learning Engineer,"Desired Skill and Experience of Machine Learning and Big Data Engineer:

Bachelor degree from a reputable university in Computer Science/Engineering, Mathematics or a related field of study, a Master degree is a plus.
Minimum 2 year of experience with general machine learning
Basic knowledge on different machine learning techniques and data science tools. You should feel comfortable to talk about these and show your knowledge if you do not have any working experience.
Knowledge on predictive models and/or optimization techniques.
Experience using machine learning tools such as TensorFlow, Keras, PyTorch
In depth knowledge of Natural Language Processing or Computer Vision or Reinforcement Learning is a plus
Experience in autonomous vehicles is a plus
Experience with building and using models on cloud platforms (like AWS, Google Cloud) is a plus
Good knowledge of Python, familiarity with Java, C++, or C# is a plus
Experience with Big Data (Hadoop, Spark, Hive) is a plus
Very good command of written and spoken English
A strong desire to learn and explore new technologies and good analysis and problem-solving skills.



Major Responsibilities:

Participate on different data science and optimization projects on different levels like design, model development, code construction and deployment.
Be a part of R&D activities for real world problems.
Research and report state of the art machine learning technologies
Build PoC(Proof of Concept) models, improve and deploy them when necessary
Constantly improve your skills and knowledge on machine learning techniques and data science tools.
Kıdem Düzeyi
Orta-Üst Düzey Yönetici
Sektör
Bilgisayar Yazılımı Bankacılık Bilgi Teknolojisi ve Hizmetleri
İstihdam Türü
Tam Zamanlı
İş Alanları
Bilgi Teknolojisi Mühendislik",OBSS,"Istanbul, Turkey","Bilgisayar Yazılımı,Bankacılık,Bilgi Teknolojisi ve Hizmetleri",Tam Zamanlı,Bilgi Teknolojisi Mühendislik,Orta-Üst Düzey Yönetici,https://www.linkedin.com/jobs/search/?currentJobId=1463254323&keywords=Python&location=istanbul
Data Analyst,"About Us

Want to join a company on the cutting edge of technology and travel? Want to be part of a fantastic and fun company that’s revolutionizing the online travel advertising space?

Adphorus a Sojern company, is a travel marketing science company that provides travel brands with the tools and know-how to scale their digital marketing programs and revenues. The Adphorus platform makes executing a marketing science strategy automated, scalable and easy. Adphorus is an official Facebook & Instagram Marketing Partner, serving top global brands, including, trivago, Air France, and BlaBlaCar. As a Sojern company, we are dedicated to developing custom solutions for travel. Sojern is travel’s direct demand engine for thousands of brands in the hotel, air, cruise, transportation, and tourism industries with 13 offices around the world.

The Role

Based in Istanbul, our Data Analysts are at the heart of Adphorus, assisting various teams from Customer Success to Sales Engineers. They work closely with Data Science team and Product teams to make sure that the great products and algorithms they produce are well-understood and used at their maximum potential.

Being a transitory role between Commercial and Technical teams, this role is perfect for those who want to be client facing with a technical mindset.

Responsibilities
Understanding how Adphorus machine learning algorithms work, and support customer success team by answering algorithm related queries
Keeping up to date on Adphorus machine learning algorithms and new Facebook features that can be utilized in our Data Science solutions
Working with the Customer Success team to respond to client feedback and give technical support with respect to the developed algorithms, and ensure that customers get the maximum value out of our Data Science solutions
Working with the Sales team to educate clients on the working principles, benefits and limitations of our Data Science solutions
Designing and recommending A/B tests for clients for testing new Facebook features, different bidding strategies, ad campaign structures, creatives and audience segmentations, and making inferences of A/B test results
Generating tactical/strategic insights and recommendations for clients derived from the analysis of performance reports
Proactive analysis and monitoring of clients’ campaigns to identify opportunities and problems
Generating regular weekly, monthly, quarterly and yearly marketing performance reports using SQL, Adphorus reporting tools and external data sources


What You Bring To The Table
Degree from a reputable university preferably in Statistics, Mathematics, Physics, Engineering, or Computer Science
2+ years experience in data analysis, visualization, development of data products and presenting to non-technical audiences, preferably in an internet or tech environment
Must have a full professional proficiency in English
Must have proficiency in Excel
Must have excellent written and oral communication skills
Preferably have experience in performance marketing and quantitative analysis of marketing results
Preferably have a working knowledge of or a strong desire to learn machine learning, Python, R, C++, SQL, NoSQL and Hadoop or a similar distributed storage and parallel processing ecosystem for big data analysis


Perks
Opportunities: Be part of a growing team with training and support to help you grow
Culture: Strong core business values, focus on teamwork, vibrant, social and fun environment
Snacks: Variety of snacks in the office
Competitive Localized Benefits
Time Off: 30 vacation days
Well-being: Medical insurance coverage, on site occupational health specialist, meditation opportunities and more!
Travel: IATA Card discounts


At Adphorus a Sojern company, we value diversity and always treat all employees and job applicants based on merit, qualifications, competence, and talent. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.
Kıdem Düzeyi
Orta-Üst Düzey Yönetici
Sektör
Pazarlama ve Reklamcılık Bilgisayar Yazılımı İnternet
İstihdam Türü
Tam Zamanlı
İş Alanları
Bilgi Teknolojisi",Sojern,"İstanbul, TR","Pazarlama ve Reklamcılık,Bilgisayar Yazılımı,İnternet",Tam Zamanlı,Bilgi Teknolojisi,Orta-Üst Düzey Yönetici,https://www.linkedin.com/jobs/search/?currentJobId=1464636751&keywords=Python&location=istanbul
TS Products Business Analyst,"Do you want to join an exciting, dynamic business? T&S Products gives you all that and more.

In T&S Products we maximize and deliver integrated value. We are driven by the following ambitions
The best talent wants to work for T&S, we build and sustain unmatched reputation for reliability, dependability and market knowledge. We offer and innovate a broad and competitive range of products and services globally. We are first choice for customers, partners and Shell businesses for their energy transition needs

This role of Business Analyst for T&S Products is a chance for someone with analysis experience to work in a more engaging supply management & business development role. You can look forward to a high level of exposure to E-2-E value chain of STAS and an exciting digitalization journey.

The primary objective of the Business Analyst is to support Products Teams' operations & business development by delivering data analysis & quantitative decision making & preparing business reports, presentations, etc.
Analyze business processes & market conditions to identify potential improvement areas & propose new ways of working.
Calculate and report relevant KPIs to monitor T&S Products’ performance
Track international market conditions daily to support channel optimization efforts
Provide direct support to Products Manager
Prepare periodic & ad-hoc meeting and engagement packs
Prepare ad-hoc data analysis & provide quantitative decision-making support



Principal Accountabilities


Daily Oil Market Monitoring - Business Analyst is responsible for collecting latest oil market pricing data from daily reports and utilizing this information to estimate timing and magnitude of refinery price changes and to track local-import price difference
LEFT Meetings & Decision Review Board Meetings & Ad-hoc engagement packs - Business Analyst is responsible for organizing and preparing for monthly LEFT meeting packs, support the BOM (Business Opportunity Manager) for preparing meeting packs & all ad-hoc engagement packs
KPI Calculations and Reporting - Business Analyst is responsible for tracking, calculating and reporting the T&S KPIs and metrics such as Platts product and crude prices, Refinery price change estimation, Import Margin Progress, Demand Forecast Accuracy (DFA for Commercial Fuels and Retail), Primary Transport Performance, Biocomponents Purchase Volumes, etc.
Sales & Operations Performance Monitoring & Support - Business Analyst ensures timely reporting of S&OP volumes and supports meetings with related analysis, also builds & improves necessary business tools
Business Development Support - Business Analyst supports Business Development projects with data gathering, quantitative and qualitative scenario analysis, Investment Proposals with support from Business Development Manager
T&S Strategy - Business Analyst plays an important role in Strategy Refresh activities of the T&S team
Digitalization – Business Analyst will be a critical member of the T&S Digitalization Initiative team who will work towards developing and deploying a digital solution which will empower T&S with smarter and faster optimization of the E2E supply chain



Requirements


We are looking forward to talking to a candidate who has the following qualifications

Analytical skills, Products Business Analyst must be able to understand large amounts of data and information
Highly numerate and tech savvy in Office & Analytics tools Advanced Excel & Power Point Skills are essential to this role; knowledge and experience of analytics tools such as Power BI, Python, etc. is preferred
Critical-thinking skills
Highly driven, resilient; someone with a ‘can do’ attitude
The ability to self-assess, self-adjust and good time management
Creative
Awareness to see the value in everything we do
Interest in developing a deep understanding of market dynamics
Natural collaboration skills and good communication skills as you’ll get to work with anyone and everyone in STAS and Shell EU/AF T&S Products teams
Ideally having an experience in analysis, supply, logistics, business development and finance
Language skills It is essential to be fluent in Turkish and English


Skillpool

Downstream Supply Chain

Work Location(s)

Istanbul - Esentepe

Dimensions


T&S Products is a vital business for STAS, Turkey is an important country for the EU/AF T&S team. The post holder be responsible for supporting the day-to-day activities of the Products team and provide direct support to the Products Manager. The incumbent will guide in development of a new technology solution. In addition to these s/he will be communicating between different stakeholders to understand and respond to the different needs and objectives of team members.


No. of Positions

1

13-Oct-2019
Kıdem Düzeyi
Geçerli Değil
Sektör
Petrol ve Enerji
İstihdam Türü
Tam Zamanlı
İş Alanları
Tedarik Zinciri",Shell,"Esentepe, TR",Petrol ve Enerji,Tam Zamanlı,Tedarik Zinciri,Geçerli Değil,https://www.linkedin.com/jobs/search/?currentJobId=1540756638&keywords=Python&location=istanbul
Backend Developer,"We are looking for a Backend Developer to build the backend infrastructure that drives our platform.

Responsibilities:
Lead backend development and engineering
Write and validate database queries
Experience designing optimized database schemas
Design and architect features from the ground up for a rapidly growing business
Improve and contribute to current development and engineering practices

Qualifications:
Experience with MySQL database engine and queries
Ability to write clean, testable code following best practices
Experience working on teams using Git or other version control systems
Comfortable working in an agile workplace
Passionate about data and performance
Prior engineering experience in a role that was instrumental to the development and design of large-scale mobile applications
Experience as a Python developer
Solid understanding of software design principles
Diverse knowledge of other programming languages is desirable but not required
Experience on a search and analytics engine is a plus.
Kıdem Düzeyi
Başlangıç Seviye
Sektör
Bilgisayar Oyunları Bilgisayar Yazılımı
İstihdam Türü
Tam Zamanlı
İş Alanları
Mühendislik Analiz Uzmanı Diğer",Fugo Bilişim Teknolojileri,"Istanbul, Turkey","Bilgisayar Oyunları,Bilgisayar Yazılımı",Tam Zamanlı,Mühendislik Analiz Uzmanı Diğer,Başlangıç Seviye,https://www.linkedin.com/jobs/search/?currentJobId=1505124702&keywords=Python&location=istanbul
Data Scientist,"İlanı veren
Can Dörtkardeşler 2.
Co-founder, Udentify
The ideal candidate's favorite words are learning, data, scale, and agility. You will leverage your strong collaboration skills and the ability to extract valuable insights from highly complex data sets to ask the right questions and find the right answers. 
 Responsibilities
Analyze raw data: assessing quality, cleansing, structuring for downstream processing
Design accurate and scalable prediction algorithms
Collaborate with the engineering team to bring analytical prototypes to production
Generate actionable insights for business improvements

Qualifications
Bachelor's degree or equivalent experience in a quantitative field ( Mathematics, Computer Science, Engineering, etc.)
At least 1 - 2 years' of experience in quantitative analytics or data modeling
Deep understanding of predictive modeling, machine-learning, clustering and classification techniques, and algorithms
Fluency in a programming language (Python, C, C++, Java, SQL)
Familiarity with Big Data frameworks and visualization tools (MongoDB, Hadoop, Spark)
Kıdem Düzeyi
Uzman
Sektör
Bilgi Teknolojisi ve Hizmetleri
İstihdam Türü
Tam Zamanlı
İş Alanları
Mühendislik Bilgi Teknolojisi",Udentify,"Istanbul, Turkey",Bilgi Teknolojisi ve Hizmetleri,Tam Zamanlı,Mühendislik Bilgi Teknolojisi,Uzman,https://www.linkedin.com/jobs/search/?currentJobId=1480437616&keywords=Python&location=istanbul
DevOps Engineer,"İlanı veren
Numan Kaçar 2.
Let's make time for life together. Join us!
Are you ready to join the Softtech family of more than 1000 people and make the future real with us?

We are looking for DevOps Engineers to join our team who will be able to work with an enthusiasm for implementing pioneering steps on the subject of financial solutions.

We believe that highly competitive solutions can only be developed by the motivated and enthusiastic team. That is why our team members have been selected among the top engineers and specialists in the market. We are experts in developing solutions for financial organizations. If you want to be part of this restless team, come & join our talented team and share our goal that is to take the technology to the next level with creative, fast, efficient, and secure solutions.

Here is the details of our job posting:

What skills do you have?
 Bachelor’s degree in Computer Science/Engineering or relevant areas
At least 2 years of experience as DevOps engineer
Experience in CI and CD pipelines and containerized systems such as Docker Swarm and/or Kubernetes
Knowledge of Unix/Linux and Windows environments
Experience in distributed systems and microservices architecture
Experience in Azure, Google Cloud, Container Technologies, Test Automation and Monitoring tools
Experience in script languages such as Python, Powershell
Knowledge of SonarQube, Checkmarx, JIRA, Jenkins tools etc. and Git and Git branching models
Knowledge of server, network and SDLC and Agile principles
Passionate for learning new technologies and tools, open for improvement
Ability to work with ambitious timelines in a dynamic, high-growth environment
Excellent English communication skills
Work location is Maslak and/or Tuzla
  What you will do?

Managing the DevOps line and tool set and complete integrations
Making automations with code/script developments
Acting as a technical consultant for related team regarding DevOps
Working in multiple Agile teams and delivering outputs per each team

What we offer?

Flexible working hours
Private health insurance
Generous vacation policy
Continuously learning and development opportunities
Attending to technical congress and conferences
International work experience, career development and visit opportunity to Maxitech, San Francisco and Shanghai
Build up your project with innovation funnel
Kıdem Düzeyi
Uzman
Sektör
Bilgi Teknolojisi ve Hizmetleri Finansal Hizmetler Bankacılık
İstihdam Türü
Tam Zamanlı
İş Alanları
Mühendislik Bilgi Teknolojisi",Softtech,"Istanbul, Turkey","Bilgi Teknolojisi ve Hizmetleri,Finansal Hizmetler,Bankacılık",Tam Zamanlı,Mühendislik Bilgi Teknolojisi,Uzman,https://www.linkedin.com/jobs/search/?currentJobId=1477802380&keywords=Python&location=istanbul
Full Stack Developer (Python),"The Sony spirit is about freedom, no limits, empowerment, innovation, imagination, autonomy, creativity and choice. With business operations all over the globe, we provide high quality lifestyle products offering entertainment through technology.

We are looking for a passionate, hardworking Senior Web Developer: Full-stack (Python, Django, JavaScript) to join one of teams in Istanbul. You will be joining an existing team, building new automation and data-analyzing solutions for a few exciting sectors. This is a new position, which requires a range of Front-end and Server Side programming skills to produce well-engineered, responsive, easy-to-use applications.
 
The successful Web Developer: Full-stack (Python, Django, JavaScript) will be a major contributor to the Design, Development and Deployment of new products based around the company's core platform and it’s Web Services API.
 
As part of the Operations team, you will also be working closely with development and security teams to create security-driven applications. This is a unique opportunity for the right candidate to help our client deliver next generation search and text analytics solutions such as ELK stack or Splunk.
  We are looking for a Senior full-stack python developer for our Global Application Security Services team located in Turkey, Istanbul reporting to Sony Electronics, Global Information Security.
 
Responsibilities:
Full-stack (Python, JavaScript) programming.
Working with multiple teams and cross-platform to create new automation solutions for our environment.
Design and coding of responsive, web-based interactive applications and interfaces in a rapid, iterative, security-centric development environment.

QUALIFICATIONS
The ideal candidate should be able to demonstrate:
University degree in Computer Engineering, Mathematics or a related discipline.
Strong front-end development skills using: JavaScript, jQuery, CSS3, HTML5 and Responsive Web Design (RWD), React.js 
In depth experience of server-side development using Python and SQL database technologies including PostgreSQL; experience with Java and/or NoSQL technologies would also be valuable,
Familiarity with RESTful web service APIs,
Practical understanding of web design and application frameworks, including Django
Practical understanding of cloud systems such as Azure, AWS or GCP and container technologies like Docker, Kubernetes
A thorough understanding of cross-browser compatibility and developing for mobile devices,
Full cycle software engineering skills, e.g. OO design, design patterns, unit testing, automated builds,
A start-up mentality to get things up and running quickly and a love of rapid, iterative security-centric development,
Desire to keep abreast of the latest standards,
Self-motivated, with the ability to bridge multiple technical areas and work in cross-functional teams,
Strong written and verbal communication skills in English,

All applications will be acknowledged and treated confidentially.
Kıdem Düzeyi
Orta-Üst Düzey Yönetici
Sektör
Tüketici Elektroniği
İstihdam Türü
Tam Zamanlı
İş Alanları
Danışmanlık Genel İş Bilgi Teknolojisi",Sony,"Istanbul, Turkey",Tüketici Elektroniği,Tam Zamanlı,Danışmanlık Genel İş Bilgi Teknolojisi,Orta-Üst Düzey Yönetici,https://www.linkedin.com/jobs/search/?currentJobId=1457673226&keywords=Python&location=istanbul
Data Scientist,"Job description

We are a fast growing, big data company looking for talented Data Scientists. This is an opportunity where one can advance their Big Data skills by working with the most leading edge technology and people in the industry. 

Work as a Data Scientist on full-life cycle projects
Complete all assigned tasks/projects adhering to timelines and meeting all deadlines
Prepare technical documentations and operational guidelines 

Desired Skills and Experience

Minimum qualifications  
Bachelor's Degree in Computer Engineering/Science, Electrical & Electronics Engineering or equivalent practical experience.
1+ years of professional work experience as a Data Scientist is required
Willingness to learn more about new languages and frameworks
Creative and innovative problem-solving skills
Good team player, result oriented attitude and analytical mind
Advanced level of English
No military obligation for male candidates for at least 2 years
Residence in Istanbul
 

Preferred qualifications

Experience in Spark, R, Python, Hadoop, etc.
Experience with machine learning, text mining, NLP, neural networks, etc.
Perform data mining, modeling and hypothesis generation in support of high-level business goals.
Develop customized algorithms to solve analytical problems with incomplete data sets.
Experience in Unix/Linux platforms.
Experience with agile development methodologies such as Scrum.
Solid foundation in computer science, with competencies in data structures, algorithms and software design.
Kıdem Düzeyi
Orta-Üst Düzey Yönetici
Sektör
Bilgi Teknolojisi ve Hizmetleri Telekomünikasyon
İstihdam Türü
Tam Zamanlı
İş Alanları
Araştırma Analiz Uzmanı Bilgi Teknolojisi",OREDATA,"Istanbul, Turkey","Bilgi Teknolojisi ve Hizmetleri,Telekomünikasyon",Tam Zamanlı,Araştırma Analiz Uzmanı Bilgi Teknolojisi,Orta-Üst Düzey Yönetici,https://www.linkedin.com/jobs/search/?currentJobId=1492435672&keywords=Python&location=istanbul
Data Analysis and Reporting Specialist,"İlanı veren
ASLI DÖVEN 2.
İnsan Kaynakları Uzman Yardımcısı
You will be working in the Consumer Business Unit and your primary area of responsibility will be to design, run, consolidate and interpret operational and financial reports about customer touchpoint performance, customer journeys and marketing and sales activities. You will also be doing ad hoc data analysis and occasionally design tests and surveys. You will not need to extract or clean data but it would be great if you are knowledgeable about these as well.
We expect you to have these qualifications:
University degree from top universities in Turkey or abroad.
Strong knowledge of Excel.
Previous experience with report generation tools (such as Tableau , Qlikview etc.).
Strong problem-solving skills and ability to prioritize and manage multiple tasks,
Good command of English (enough to read the literature relevant to your field and take courses online for upgrading your skill set)
A good understanding of statistics.
Familiarity with at least one programming/scripting language to automate tasks (you don’t need to be an expert but you do need to be able to set up a working environment, write code that actually does something mildly useful)
In your job, you will:
Understand the business needs of process owners and co-design the relevant reports.
Run these regular operational and financial reports, assure that they are accurate and timely, and assist process owners in interpreting them.
Consolidate various reports and other data sources for monthly budget and KPI reviews.
Design tests and surveys, evaluate their results.
Any of these extras would make you a better candidate:
Experience in advanced statistical concepts including multivariate analysis, linear and non-linear regression.
Familiarity with data mining concepts, Bayesian methods, stochastic analysis, mathematical modelling, simulations.
Familiarity with statistical tools and languages such as R, SPSS, relevant Python libraries.
Kıdem Düzeyi
Uzman
Sektör
Telekomünikasyon
İstihdam Türü
Tam Zamanlı
İş Alanları
Analiz Uzmanı Mühendislik",TurkNet İletişim Hizmetleri,"Istanbul, Turkey",Telekomünikasyon,Tam Zamanlı,Analiz Uzmanı Mühendislik,Uzman,https://www.linkedin.com/jobs/search/?currentJobId=1401818192&keywords=Python&location=istanbul
